WARNING (theano.tensor.blas): Using NumPy C-API based implementation for BLAS functions.
pybullet build time: Oct 11 2021 20:59:39
train epoch=19, loader_type='Both', approx_losses.avg=0.0075308924545844395, constraint_losses.avg=0.004818299118801952
------------------------- test Main, avg_test_AL=0.004735660961792746, avg_test_CL=0.004736073968739219, max_test_CL=0.03005143068730831
------------------------- test un normalized Main, avg_test_AL_un_norm=282.47094174342493, avg_test_CL_un_norm=282.50981783904285, max_test_CL_un_norm=2754.621464843848
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.0014275606722803787, max_test_CL=0.002612901385873556
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=155.8563137442413, max_test_CL_un_norm=280.6642706700894
train epoch=20, loader_type='Both', approx_losses.avg=0.0058625904371263455, constraint_losses.avg=0.0037790244832014044
------------------------- test Main, avg_test_AL=0.0024473375323529277, avg_test_CL=0.0024477947574390174, max_test_CL=0.026887845247983932
------------------------- test un normalized Main, avg_test_AL_un_norm=240.79796708907898, avg_test_CL_un_norm=240.86012768222938, max_test_CL_un_norm=2808.9460542266606
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.0011783555185538716, max_test_CL=0.002163754077628255
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=145.98517353755693, max_test_CL_un_norm=291.5031834651814
train epoch=21, loader_type='Both', approx_losses.avg=0.0022173390466952696, constraint_losses.avg=0.0013784753856404374
------------------------- test Main, avg_test_AL=0.0012776969922852004, avg_test_CL=0.0012774553398388283, max_test_CL=0.01064248662441969
------------------------- test un normalized Main, avg_test_AL_un_norm=119.46453002625017, avg_test_CL_un_norm=119.43565301631102, max_test_CL_un_norm=1128.0404485961562
------------------------- test Omega, avg_test_AL=0, avg_test_CL=7.563165444048299e-05, max_test_CL=0.00019147827697452158
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=8.299954078401086, max_test_CL_un_norm=16.20466183417795
train epoch=22, loader_type='Both', approx_losses.avg=0.0016684354072669522, constraint_losses.avg=0.001095464254838104
------------------------- test Main, avg_test_AL=0.006182452451078764, avg_test_CL=0.006182355935908466, max_test_CL=0.031960003077983856
------------------------- test un normalized Main, avg_test_AL_un_norm=267.57038189341455, avg_test_CL_un_norm=267.56126467039763, max_test_CL_un_norm=854.0426779311815
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.0010813979236409068, max_test_CL=0.0041962540708482265
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=53.728878938305805, max_test_CL_un_norm=139.25164309837038
train epoch=23, loader_type='Both', approx_losses.avg=0.0037592233448289335, constraint_losses.avg=0.003032033197333415
------------------------- test Main, avg_test_AL=0.004829939713003114, avg_test_CL=0.004830012332104767, max_test_CL=0.03168029338121414
------------------------- test un normalized Main, avg_test_AL_un_norm=260.2501889342926, avg_test_CL_un_norm=260.2647997368264, max_test_CL_un_norm=1597.8903403607528
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.0033243817687034606, max_test_CL=0.004067673347890377
